,Latitude,Longitude,cord
0,29.7589382,-95.3676974,Houston
1,35.8179143,-79.8030873,Randleman
2,37.1716264,-119.7737991,Madera
3,32.753177,-97.3327459,Fort Worth
4,32.7931661,-94.344488,Marion
5,33.7489924,-84.3902644,Atlanta
6,38.783855,-90.481677,Saint Charles
7,39.1014537,-84.5124602,Cincinnati
8,30.3321838,-81.655651,Jacksonville
9,39.9805509,-94.5944045,Union Star
10,36.1622767,-86.7742984,Nashville
11,34.7465071,-92.2896267,Little Rock
12,26.8200607,-80.6653351,Pahokee
13,32.4707862,-93.7559378,Shreveport
14,35.1460249,-90.0517638,Memphis
15,32.9635006,-81.3400056,Allendale
16,32.3086744,-90.1983063,Jackson
17,41.2222218,-73.0570603,Milford
18,31.098207,-97.3427847,Temple
19,27.9484265,-82.23621545220522,Valrico
20,35.2272086,-80.8430827,Charlotte
21,25.4718946,-80.4759905,Homestead
22,38.7919683,-90.3227803,Florissant
23,36.7295295,-119.70886126075588,Fresno
24,38.7521235,-121.2880059,Roseville
25,32.0790074,-81.0921335,Savannah
26,30.4494155,-91.1869659,Baton Rouge
27,52.4796992,-1.9026911,Birmingham
28,36.1563122,-95.9927516,Tulsa
29,37.7790262,-122.419906,San Francisco
30,38.6280278,-90.1910154,Saint Louis
31,33.456207,-102.489357,Sundown
32,36.0600602,-86.6722192,Antioch
33,35.5283506,-108.743907,Gallup
34,42.3315509,-83.0466403,Detroit
35,29.7857853,-95.8243956,Katy
36,41.4086874,-75.6621294,Scranton
37,34.089803,-88.6223964,Nettleton
38,37.6922361,-97.3375448,Wichita
39,38.2542376,-85.759407,Louisville
40,38.1069515,-103.5102184,Cheraw
41,33.8750629,35.843409,Lebanon
42,39.100105,-94.5781416,Kansas City
43,29.9759983,-90.0782127,New Orleans
44,42.6389216,-83.2910468,Pontiac
45,39.9622601,-83.0007065,Columbus
46,27.4467056,-80.3256056,Fort Pierce
47,39.2908816,-76.610759,Baltimore
